아이디,이름,,,
80118,PARTS_EQUIPMENT_ARMOR_ARCHER_TUNIC,Equipment,Armor,ArcherTunic
80119,PARTS_EQUIPMENT_ARMOR_BANDIT_TUNIC,Equipment,Armor,BanditTunic
80120,PARTS_EQUIPMENT_ARMOR_BLUE_KNIGHT,Equipment,Armor,BlueKnight
80121,PARTS_EQUIPMENT_ARMOR_BLUE_WIZARD_TUNIC,Equipment,Armor,BlueWizardTunic
80122,PARTS_EQUIPMENT_ARMOR_BOX,Equipment,Armor,Box
80123,PARTS_EQUIPMENT_ARMOR_CAPTAIN_ARMOR,Equipment,Armor,CaptainArmor
80124,PARTS_EQUIPMENT_ARMOR_CHIEF,Equipment,Armor,Chief
80125,PARTS_EQUIPMENT_ARMOR_CLERIC_ROBE,Equipment,Armor,ClericRobe
80126,PARTS_EQUIPMENT_ARMOR_DEATH_ROBE,Equipment,Armor,DeathRobe
80127,PARTS_EQUIPMENT_ARMOR_DEER_COSTUME,Equipment,Armor,DeerCostume
80128,PARTS_EQUIPMENT_ARMOR_DEMIGOD_ARMOR,Equipment,Armor,DemigodArmour
80129,PARTS_EQUIPMENT_ARMOR_DRACULA,Equipment,Armor,Dracula
80130,PARTS_EQUIPMENT_ARMOR_DRUID_ROBE,Equipment,Armor,DruidRobe
80131,PARTS_EQUIPMENT_ARMOR_ELF_TUNIC,Equipment,Armor,ElfTunic
80132,PARTS_EQUIPMENT_ARMOR_EXECUTIONER,Equipment,Armor,Executioner
80133,PARTS_EQUIPMENT_ARMOR_FARMER_CLOTHES,Equipment,Armor,FarmerClothes
80134,PARTS_EQUIPMENT_ARMOR_FEMALE_OUTFIT,Equipment,Armor,FemaleOutfit
80135,PARTS_EQUIPMENT_ARMOR_FEMALE_SWIMMING_SUIT,Equipment,Armor,FemaleSwimmingSuit
80136,PARTS_EQUIPMENT_ARMOR_FIRE_WIZARD_ROBE,Equipment,Armor,FireWizardRobe
80137,PARTS_EQUIPMENT_ARMOR_GLADIATOR,Equipment,Armor,Gladiator
80138,PARTS_EQUIPMENT_ARMOR_GUARDIAN_TUNIC,Equipment,Armor,GuardianTunic
80139,PARTS_EQUIPMENT_ARMOR_HEAVY_KNIGHT_ARMOR,Equipment,Armor,HeavyKnightArmor
80140,PARTS_EQUIPMENT_ARMOR_HELLSING,Equipment,Armor,Hellsing
80141,PARTS_EQUIPMENT_ARMOR_HOLOW_KNIGHT,Equipment,Armor,HolowKnight
80142,PARTS_EQUIPMENT_ARMOR_HORNS_KNIGHT,Equipment,Armor,HornsKnight
80143,PARTS_EQUIPMENT_ARMOR_IRON_KNIGHT,Equipment,Armor,IronKnight
80144,PARTS_EQUIPMENT_ARMOR_LEGIONARY_ARMOR,Equipment,Armor,LegionaryArmor
80145,PARTS_EQUIPMENT_ARMOR_LINK,Equipment,Armor,Link
80146,PARTS_EQUIPMENT_ARMOR_MAID,Equipment,Armor,Maid
80147,PARTS_EQUIPMENT_ARMOR_MILITIAMAN_ARMOR,Equipment,Armor,MilitiamanArmor
80148,PARTS_EQUIPMENT_ARMOR_MINER_ARMOUR,Equipment,Armor,MinerArmour
80149,PARTS_EQUIPMENT_ARMOR_MONK_ROBE,Equipment,Armor,MonkRobe
80150,PARTS_EQUIPMENT_ARMOR_MUSKETEER_TUNIC,Equipment,Armor,MusketeerTunic
80151,PARTS_EQUIPMENT_ARMOR_NECROMANCER_ROBE,Equipment,Armor,NecromancerRobe
80152,PARTS_EQUIPMENT_ARMOR_NINJA_TUNIC,Equipment,Armor,NinjaTunic
80153,PARTS_EQUIPMENT_ARMOR_OVERALLS,Equipment,Armor,Overalls
80154,PARTS_EQUIPMENT_ARMOR_PANDA,Equipment,Armor,Panda
80155,PARTS_EQUIPMENT_ARMOR_PHARAON,Equipment,Armor,Pharaon
80156,PARTS_EQUIPMENT_ARMOR_PILOT_ARMOR,Equipment,Armor,PilotArmor
80157,PARTS_EQUIPMENT_ARMOR_PIRATE_COSTUME,Equipment,Armor,PirateCostume
80158,PARTS_EQUIPMENT_ARMOR_PIRATE_ROBE,Equipment,Armor,PirateRobe
80159,PARTS_EQUIPMENT_ARMOR_PLAGUE_DOCTOR,Equipment,Armor,PlagueDoctor
80160,PARTS_EQUIPMENT_ARMOR_PRIEST,Equipment,Armor,Priest
80161,PARTS_EQUIPMENT_ARMOR_PUMPKIN_OVERALLS,Equipment,Armor,PumpkinOveralls
80162,PARTS_EQUIPMENT_ARMOR_SAMURAI,Equipment,Armor,Samurai
80163,PARTS_EQUIPMENT_ARMOR_SANTA_HELPER_TUNIC,Equipment,Armor,SantaHelperTunic
80164,PARTS_EQUIPMENT_ARMOR_SANTA_TUNIC,Equipment,Armor,SantaTunic
80165,PARTS_EQUIPMENT_ARMOR_SPARTAN,Equipment,Armor,Spartan
80166,PARTS_EQUIPMENT_ARMOR_SQUAW,Equipment,Armor,Squaw
80167,PARTS_EQUIPMENT_ARMOR_THIEF_TUNIC,Equipment,Armor,ThiefTunic
80168,PARTS_EQUIPMENT_ARMOR_TRAVELER_TUNIC,Equipment,Armor,TravelerTunic
80169,PARTS_EQUIPMENT_MASK_ANIME_MASK,Equipment,Mask,AnimeMask
80170,PARTS_EQUIPMENT_MASK_BANDIT_MASK,Equipment,Mask,BanditMask
80171,PARTS_EQUIPMENT_MASK_BLACK_MASK,Equipment,Mask,BlackMask
80172,PARTS_EQUIPMENT_MASK_DARK_MASK,Equipment,Mask,DarkMask
80173,PARTS_EQUIPMENT_MASK_DRACULA,Equipment,Mask,Dracula
80174,PARTS_EQUIPMENT_MASK_GLASS,Equipment,Mask,Glass
80175,PARTS_EQUIPMENT_MASK_IRON_MASK,Equipment,Mask,IronMask
80176,PARTS_EQUIPMENT_MASK_PLAGUE_DOCTOR_MASK,Equipment,Mask,PlagueDoctorMask
80177,PARTS_EQUIPMENT_MASK_SHADOW,Equipment,Mask,Shadow
80178,PARTS_EQUIPMENT_MASK_SUPER_MASK,Equipment,Mask,SuperMask
80179,PARTS_EQUIPMENT_HELMET_ANGEL,Equipment,Helmet,Angel
80180,PARTS_EQUIPMENT_HELMET_APACHE,Equipment,Helmet,Apache
80181,PARTS_EQUIPMENT_HELMET_ARCHER_HOOD,Equipment,Helmet,ArcherHood
80182,PARTS_EQUIPMENT_HELMET_BANDIT_BANDANA,Equipment,Helmet,BanditBandana
80183,PARTS_EQUIPMENT_HELMET_BANDIT_PATCH,Equipment,Helmet,BanditPatch [ShowEars]
80184,PARTS_EQUIPMENT_HELMET_BLUE_KNIGHT_HELMET,Equipment,Helmet,BlueKnightHelmet
80185,PARTS_EQUIPMENT_HELMET_BLUE_WIZZARD_HAT,Equipment,Helmet,BlueWizzardHat
80186,PARTS_EQUIPMENT_HELMET_BOX,Equipment,Helmet,Box
80187,PARTS_EQUIPMENT_HELMET_CAPTAIN_HELMET,Equipment,Helmet,CaptainHelmet
80188,PARTS_EQUIPMENT_HELMET_CHIEF_HAT,Equipment,Helmet,ChiefHat [ShowEars]
80189,PARTS_EQUIPMENT_HELMET_CLERIC_HOOD,Equipment,Helmet,ClericHood
80190,PARTS_EQUIPMENT_HELMET_DEATH_HOOD,Equipment,Helmet,DeathHood
80191,PARTS_EQUIPMENT_HELMET_DEER_HORNS,Equipment,Helmet,DeerHorns [ShowEars]
80192,PARTS_EQUIPMENT_HELMET_DRUID_HELMET,Equipment,Helmet,DruidHelmet
80193,PARTS_EQUIPMENT_HELMET_EXECUTIONER_HOOD,Equipment,Helmet,ExecutionerHood
80194,PARTS_EQUIPMENT_HELMET_FIRE_WIZARD_HOOD,Equipment,Helmet,FireWizardHood
80195,PARTS_EQUIPMENT_HELMET_GLADIATOR,Equipment,Helmet,Gladiator
80196,PARTS_EQUIPMENT_HELMET_GUARDIAN_HELMET,Equipment,Helmet,GuardianHelmet
80197,PARTS_EQUIPMENT_HELMET_HEAVY_KNIGHT_HELMET,Equipment,Helmet,HeavyKnightHelmet
80198,PARTS_EQUIPMENT_HELMET_HELLSING,Equipment,Helmet,Hellsing
80199,PARTS_EQUIPMENT_HELMET_HOLOW_KNIGHT_HELMET,Equipment,Helmet,HolowKnightHelmet
80200,PARTS_EQUIPMENT_HELMET_HORNS_HELMET,Equipment,Helmet,HornsHelmet
80201,PARTS_EQUIPMENT_HELMET_HORNS_KNIGHT_HELMET,Equipment,Helmet,HornsKnightHelmet
80202,PARTS_EQUIPMENT_HELMET_IRON_KNIGHT_HELMET,Equipment,Helmet,IronKnightHelmet
80203,PARTS_EQUIPMENT_HELMET_LEGIONARY_HELMET,Equipment,Helmet,LegionaryHelmet
80204,PARTS_EQUIPMENT_HELMET_LINK,Equipment,Helmet,Link
80205,PARTS_EQUIPMENT_HELMET_MAID,Equipment,Helmet,Maid
80206,PARTS_EQUIPMENT_HELMET_MILITIAMAN_HELMET,Equipment,Helmet,MilitiamanHelmet
80207,PARTS_EQUIPMENT_HELMET_MINER_HELMENT,Equipment,Helmet,MinerHelment
80208,PARTS_EQUIPMENT_HELMET_MUSKETEER_HAT,Equipment,Helmet,MusketeerHat [ShowEars]
80209,PARTS_EQUIPMENT_HELMET_NECROMANCER_HOOD,Equipment,Helmet,NecromancerHood
80210,PARTS_EQUIPMENT_HELMET_NINJA_MASK,Equipment,Helmet,NinjaMask
80211,PARTS_EQUIPMENT_HELMET_PANDA,Equipment,Helmet,Panda
80212,PARTS_EQUIPMENT_HELMET_PHARAON,Equipment,Helmet,Pharaon
80213,PARTS_EQUIPMENT_HELMET_PILOT_HELMENT,Equipment,Helmet,PilotHelment
80214,PARTS_EQUIPMENT_HELMET_PIRATE_BANDANA,Equipment,Helmet,PirateBandana [ShowEars]
80215,PARTS_EQUIPMENT_HELMET_PIRATE_HELMET,Equipment,Helmet,PirateHelmet [ShowEars]
80216,PARTS_EQUIPMENT_HELMET_PLAGUE_DOCTOR,Equipment,Helmet,PlagueDoctor
80217,PARTS_EQUIPMENT_HELMET_PRIEST,Equipment,Helmet,Priest
80218,PARTS_EQUIPMENT_HELMET_PUMPKIN_HEAD,Equipment,Helmet,PumpkinHead
80219,PARTS_EQUIPMENT_HELMET_SAMURAI_HELMET,Equipment,Helmet,SamuraiHelmet
80220,PARTS_EQUIPMENT_HELMET_SANTA_HELPER_CAP,Equipment,Helmet,SantaHelperCap [ShowEars]
80221,PARTS_EQUIPMENT_HELMET_SANTA_HOOD,Equipment,Helmet,SantaHood
80222,PARTS_EQUIPMENT_HELMET_SANTA_HOOD_BEARD,Equipment,Helmet,SantaHoodBeard
80223,PARTS_EQUIPMENT_HELMET_SPARTAN,Equipment,Helmet,Spartan
80224,PARTS_EQUIPMENT_HELMET_SQUAW,Equipment,Helmet,Squaw
80225,PARTS_EQUIPMENT_HELMET_THIEF_HOOD,Equipment,Helmet,ThiefHood
80226,PARTS_EQUIPMENT_HELMET_VIKING_HELMET,Equipment,Helmet,VikingHelmet
80227,PARTS_EQUIPMENT_BRACERS_ANGEL,Equipment,Bracers,Angel
80228,PARTS_EQUIPMENT_BRACERS_ARCHER_TUNIC,Equipment,Bracers,ArcherTunic
80229,PARTS_EQUIPMENT_BRACERS_BLUE_KNIGHT,Equipment,Bracers,BlueKnight
80230,PARTS_EQUIPMENT_BRACERS_BLUE_WIZARD_TUNIC,Equipment,Bracers,BlueWizardTunic
80231,PARTS_EQUIPMENT_BRACERS_CAPTAIN_ARMOR,Equipment,Bracers,CaptainArmor
80232,PARTS_EQUIPMENT_BRACERS_CHIEF,Equipment,Bracers,Chief
80233,PARTS_EQUIPMENT_BRACERS_CLERIC_ROBE,Equipment,Bracers,ClericRobe
80234,PARTS_EQUIPMENT_BRACERS_DEATH_ROBE,Equipment,Bracers,DeathRobe
80235,PARTS_EQUIPMENT_BRACERS_DEER_COSTUME,Equipment,Bracers,DeerCostume
80236,PARTS_EQUIPMENT_BRACERS_DEMIGOD_ARMOUR,Equipment,Bracers,DemigodArmour
80237,PARTS_EQUIPMENT_BRACERS_DRACULA,Equipment,Bracers,Dracula
80238,PARTS_EQUIPMENT_BRACERS_DRUID_ROBE,Equipment,Bracers,DruidRobe
80239,PARTS_EQUIPMENT_BRACERS_EXECUTIONER,Equipment,Bracers,Executioner
80240,PARTS_EQUIPMENT_BRACERS_FIRE_WIZARD_ROBE,Equipment,Bracers,FireWizardRobe
80241,PARTS_EQUIPMENT_BRACERS_GLADIATOR,Equipment,Bracers,Gladiator
80242,PARTS_EQUIPMENT_BRACERS_GREEN_ELF_TUNIC,Equipment,Bracers,GreenElfTunic
80243,PARTS_EQUIPMENT_BRACERS_GUARDIAN_TUNIC,Equipment,Bracers,GuardianTunic
80244,PARTS_EQUIPMENT_BRACERS_HALOWEEN_TUNIC,Equipment,Bracers,HaloweenTunic
80245,PARTS_EQUIPMENT_BRACERS_HEAVY_KNIGHT_ARMOR,Equipment,Bracers,HeavyKnightArmor
80246,PARTS_EQUIPMENT_BRACERS_HELLSING,Equipment,Bracers,Hellsing
80247,PARTS_EQUIPMENT_BRACERS_HOLOW_KNIGHT,Equipment,Bracers,HolowKnight
80248,PARTS_EQUIPMENT_BRACERS_HORNS_KNIGHT,Equipment,Bracers,HornsKnight
80249,PARTS_EQUIPMENT_BRACERS_IRON_KNIGHT,Equipment,Bracers,IronKnight
80250,PARTS_EQUIPMENT_BRACERS_LEGIONARY_ARMOR,Equipment,Bracers,LegionaryArmor
80251,PARTS_EQUIPMENT_BRACERS_LINK,Equipment,Bracers,Link
80252,PARTS_EQUIPMENT_BRACERS_MILITIAMAN_ARMOR,Equipment,Bracers,MilitiamanArmor
80253,PARTS_EQUIPMENT_BRACERS_MONK_ROBE,Equipment,Bracers,MonkRobe
80254,PARTS_EQUIPMENT_BRACERS_MUSKETEER_TUNIC,Equipment,Bracers,MusketeerTunic
80255,PARTS_EQUIPMENT_BRACERS_NECROMANCER_ROBE,Equipment,Bracers,NecromancerRobe
80256,PARTS_EQUIPMENT_BRACERS_NINJA_TUNIC,Equipment,Bracers,NinjaTunic
80257,PARTS_EQUIPMENT_BRACERS_PANDA,Equipment,Bracers,Panda
80258,PARTS_EQUIPMENT_BRACERS_PILOT_ARMOR,Equipment,Bracers,PilotArmor
80259,PARTS_EQUIPMENT_BRACERS_PIRATE_ROBE,Equipment,Bracers,PirateRobe
80260,PARTS_EQUIPMENT_BRACERS_PLAGUE_DOCTOR,Equipment,Bracers,PlagueDoctor
80261,PARTS_EQUIPMENT_BRACERS_PRIEST,Equipment,Bracers,Priest
80262,PARTS_EQUIPMENT_BRACERS_SABOTEUR_ARMOUR,Equipment,Bracers,SaboteurArmour
80263,PARTS_EQUIPMENT_BRACERS_SAMURAI,Equipment,Bracers,Samurai
80264,PARTS_EQUIPMENT_BRACERS_SANTA_TUNIC,Equipment,Bracers,SantaTunic
80265,PARTS_EQUIPMENT_BRACERS_SPARTAN,Equipment,Bracers,Spartan
80266,PARTS_EQUIPMENT_BRACERS_THIEF_TUNIC,Equipment,Bracers,ThiefTunic
80267,PARTS_EQUIPMENT_WEAPON_AMUR_WAND,Equipment,Weapon,AmurWand
80268,PARTS_EQUIPMENT_WEAPON_ARCH_STAFF,Equipment,Weapon,ArchStaff
80269,PARTS_EQUIPMENT_WEAPON_ASSAULT_SWORD,Equipment,Weapon,AssaultSword
80270,PARTS_EQUIPMENT_WEAPON_AXE,Equipment,Weapon,Axe
80271,PARTS_EQUIPMENT_WEAPON_BASTARD_SWORD,Equipment,Weapon,BastardSword
80272,PARTS_EQUIPMENT_WEAPON_BATTLE_AXE,Equipment,Weapon,BattleAxe
80273,PARTS_EQUIPMENT_WEAPON_BATTLE_BOW,Equipment,Weapon,BattleBow
80274,PARTS_EQUIPMENT_WEAPON_BATTLE_HAMMER,Equipment,Weapon,BattleHammer
80275,PARTS_EQUIPMENT_WEAPON_BIDENT,Equipment,Weapon,Bident
80276,PARTS_EQUIPMENT_WEAPON_BISHOP_STAFF,Equipment,Weapon,BishopStaff
80277,PARTS_EQUIPMENT_WEAPON_BLACKSMITH_HAMMER,Equipment,Weapon,BlacksmithHammer
80278,PARTS_EQUIPMENT_WEAPON_BLADE,Equipment,Weapon,Blade
80279,PARTS_EQUIPMENT_WEAPON_BLUE_STICK,Equipment,Weapon,BlueStick
80280,PARTS_EQUIPMENT_WEAPON_BLUE_WAND,Equipment,Weapon,BlueWand
80281,PARTS_EQUIPMENT_WEAPON_BOW,Equipment,Weapon,Bow
80282,PARTS_EQUIPMENT_WEAPON_BRANCH,Equipment,Weapon,Branch
80283,PARTS_EQUIPMENT_WEAPON_BROADSWORD,Equipment,Weapon,Broadsword
80284,PARTS_EQUIPMENT_WEAPON_BUTCHER,Equipment,Weapon,Butcher
80285,PARTS_EQUIPMENT_WEAPON_CLEAVER,Equipment,Weapon,Cleaver
80286,PARTS_EQUIPMENT_WEAPON_CRUSHER,Equipment,Weapon,Crusher
80287,PARTS_EQUIPMENT_WEAPON_CRYSTAL_WAND,Equipment,Weapon,CrystalWand
80288,PARTS_EQUIPMENT_WEAPON_CURVE_BRANCH,Equipment,Weapon,CurveBranch
80289,PARTS_EQUIPMENT_WEAPON_CURVED_BOW,Equipment,Weapon,CurvedBow
80290,PARTS_EQUIPMENT_WEAPON_CUTLASS,Equipment,Weapon,Cutlass
80291,PARTS_EQUIPMENT_WEAPON_DEATH_SCYTHE,Equipment,Weapon,DeathScythe
80292,PARTS_EQUIPMENT_WEAPON_ELDER_STAFF,Equipment,Weapon,ElderStaff
80293,PARTS_EQUIPMENT_WEAPON_EPEE,Equipment,Weapon,Epee
80294,PARTS_EQUIPMENT_WEAPON_EXECUTIONER,Equipment,Weapon,Executioner
80295,PARTS_EQUIPMENT_WEAPON_FIRE_WAND,Equipment,Weapon,FireWand
80296,PARTS_EQUIPMENT_WEAPON_FLAME_STAFF,Equipment,Weapon,FlameStaff
80297,PARTS_EQUIPMENT_WEAPON_FORK,Equipment,Weapon,Fork
80298,PARTS_EQUIPMENT_WEAPON_GIANT_BLADE,Equipment,Weapon,GiantBlade
80299,PARTS_EQUIPMENT_WEAPON_GIANT_SWORD,Equipment,Weapon,GiantSword
80300,PARTS_EQUIPMENT_WEAPON_GOLDEN_SKEPTER,Equipment,Weapon,GoldenSkepter
80301,PARTS_EQUIPMENT_WEAPON_GOLDEN_SKULL_WAND,Equipment,Weapon,GoldenSkullWand
80302,PARTS_EQUIPMENT_WEAPON_GREATAXE,Equipment,Weapon,Greataxe
80303,PARTS_EQUIPMENT_WEAPON_GREAT_HAMMER,Equipment,Weapon,GreatHammer
80304,PARTS_EQUIPMENT_WEAPON_GREATSWORD,Equipment,Weapon,Greatsword
80305,PARTS_EQUIPMENT_WEAPON_GREEN_WAND,Equipment,Weapon,GreenWand
80306,PARTS_EQUIPMENT_WEAPON_GUARDIAN_HALBERD,Equipment,Weapon,GuardianHalberd
